number, created_at, updated_at, closed_at
24458, 2022-04-28T14:39:31Z, 2022-05-12T16:58:18Z, 2022-05-12T16:58:18Z
24441, 2022-04-26T14:07:21Z, 2022-05-05T15:46:57Z, 2022-05-05T15:46:57Z
24437, 2022-04-25T19:40:15Z, 2022-09-28T08:01:04Z, 2022-09-28T08:00:37Z
24428, 2022-04-23T16:38:15Z, 2022-05-04T20:25:28Z, 2022-05-04T20:25:28Z
24418, 2022-04-21T14:08:39Z, 2022-04-21T14:08:59Z, 2022-04-21T14:08:59Z
24417, 2022-04-21T14:05:31Z, 2024-06-04T13:45:34Z, 2022-05-04T18:50:47Z
24391, 2022-04-17T08:53:53Z, 2024-01-11T17:07:26Z, None
24384, 2022-04-15T16:28:29Z, 2023-05-19T07:29:00Z, 2022-05-03T19:31:17Z
24370, 2022-04-13T19:42:01Z, 2022-04-14T17:32:23Z, 2022-04-14T17:32:22Z
24350, 2022-04-12T15:27:31Z, 2022-04-27T00:12:27Z, 2022-04-12T19:39:00Z
24302, 2022-04-07T20:49:39Z, 2022-04-14T16:30:04Z, 2022-04-14T16:30:04Z
24280, 2022-04-05T14:21:22Z, 2022-04-28T13:36:04Z, 2022-04-11T22:47:46Z
24279, 2022-04-05T13:03:48Z, 2022-11-05T11:46:18Z, 2022-04-07T23:22:47Z
24270, 2022-04-04T00:59:24Z, 2023-07-01T20:40:20Z, 2022-04-04T15:23:59Z
24268, 2022-04-03T15:14:27Z, 2022-04-11T20:43:16Z, 2022-04-11T20:43:16Z
24267, 2022-04-03T15:03:00Z, 2022-04-06T12:36:27Z, 2022-04-06T09:39:43Z
24221, 2022-03-30T17:31:05Z, 2022-04-27T00:09:19Z, 2022-04-05T01:56:35Z
24215, 2022-03-30T15:10:06Z, 2022-04-27T19:10:26Z, 2022-04-27T19:10:26Z
24203, 2022-03-29T23:03:55Z, 2022-04-08T11:55:45Z, 2022-04-07T17:06:35Z
24182, 2022-03-27T21:59:08Z, 2022-03-29T15:16:40Z, 2022-03-29T15:16:39Z
24162, 2022-03-25T13:05:28Z, 2022-03-28T18:25:31Z, 2022-03-28T18:25:31Z
24142, 2022-03-22T06:19:18Z, 2022-03-24T13:07:47Z, 2022-03-23T21:05:20Z
24136, 2022-03-21T02:39:00Z, 2023-01-05T14:44:28Z, None
24134, 2022-03-20T08:18:43Z, 2022-03-20T08:23:59Z, 2022-03-20T08:23:59Z
24094, 2022-03-14T17:50:04Z, 2024-02-28T07:01:26Z, 2022-03-14T19:31:49Z
24089, 2022-03-13T23:31:26Z, 2022-03-14T13:35:16Z, 2022-03-14T13:35:08Z
24064, 2022-03-09T16:54:32Z, 2022-03-09T18:26:10Z, None
24032, 2022-03-04T20:49:02Z, 2022-03-07T18:34:11Z, 2022-03-07T18:34:11Z
23373, 2022-02-26T13:41:36Z, 2022-03-10T18:37:50Z, 2022-03-10T18:36:47Z
23324, 2022-02-18T02:40:21Z, 2023-11-14T08:21:00Z, None
23317, 2022-02-17T11:33:33Z, 2022-03-14T13:35:55Z, 2022-03-14T13:35:55Z
23307, 2022-02-16T04:09:44Z, 2022-10-21T13:48:46Z, 2022-03-15T18:21:35Z
23306, 2022-02-16T00:14:02Z, 2022-08-24T14:22:13Z, None
23303, 2022-02-15T20:08:08Z, 2022-02-22T09:36:57Z, 2022-02-18T20:08:21Z
23301, 2022-02-15T17:00:06Z, 2024-05-09T07:08:51Z, None
23299, 2022-02-15T11:16:40Z, 2024-03-16T15:03:36Z, None
23286, 2022-02-13T08:52:26Z, 2022-02-15T06:12:15Z, 2022-02-14T21:14:12Z
23283, 2022-02-12T23:29:52Z, 2022-03-10T18:37:53Z, 2022-03-10T18:35:52Z
